ID,Fake Name,Name,ADM,PD1,PD2,PD3,Pro-B1,Pro-B2,Pro-B3,Pro-D1
1,Christopher,A,YES,YES,YES,NO,YES,YES,NO,NO
2,Willis,B,YES,YES,NO,YES,NO,NO,NO,NO
3,Chris,C,YES,NO,YES,NO,NO,YES,YES,NO
4,William,D,YES,NO,YES,YES,NO,NO,YES,NO
5,Sean,E,YES,YES,NO,NO,NO,NO,NO,NO
6,Leslie,F,NO,NO,NO,NO,NO,NO,NO,YES
7,Ellen,G,NO,NO,NO,NO,NO,NO,YES,NO
8,Heidi,H,NO,NO,NO,NO,NO,NO,NO,YES
9,Charlie,I,NO,NO,NO,NO,YES,NO,NO,NO
10,Curry,J,NO,NO,NO,NO,YES,NO,NO,YES
11,Jimmy,K,NO,NO,NO,NO,NO,YES,NO,NO
12,Gia,L,NO,NO,NO,NO,YES,YES,NO,NO
13,Kristy,M,NO,NO,NO,NO,NO,YES,NO,NO
14,Mimic,N,NO,NO,NO,NO,YES,YES,NO,NO
